sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana;prob_incumplir_SLA_temprano
1;143,263056;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;297,000000;No;No;2025;10;2;13;0;0,392706
0;48,501111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Banda Ancha;Restauración de servicio a usuario;Correo electrónico;En Sitio;Conectividad - Acceso;3,000000;0,000000;No;No;2025;10;2;14;0;0,313515
1;140,355556;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Monitoreo Proactivo;Remoto;Movilidad;1,000000;20,000000;No;No;2025;10;2;14;0;0,463241
1;142,022222;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;214,000000;No;No;2025;10;2;14;0;0,396385
1;142,021944;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;214,000000;No;No;2025;10;2;14;0;0,396385
1;141,050000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Movilidad;1,000000;262,000000;No;No;2025;10;2;15;0;0,400075
0;25,703056;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;9,000000;No;No;2025;10;2;17;0;0,474746
0;25,490278;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;28,000000;No;No;2025;10;2;17;0;0,407490
0;25,489722;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;28,000000;No;No;2025;10;2;17;0;0,407490
1;141,088056;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;207,000000;No;No;2025;10;2;17;0;0,407490
0;24,635000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;3,000000;6,000000;No;No;2025;10;2;18;0;0,411213
0;27,047222;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;15,000000;No;No;2025;10;2;19;0;0,414947
0;26,228611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;10,000000;No;No;2025;10;2;20;0;0,418690
0;29,035278;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;44,000000;No;No;2025;10;2;23;0;0,429975
0;29,018611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;44,000000;No;No;2025;10;2;23;0;0,429975
0;32,416944;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;42,000000;No;No;2025;10;3;0;0;0,376857
0;28,165833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;20,000000;No;No;2025;10;3;0;0;0,376857
0;27,330000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;16,000000;No;No;2025;10;3;1;0;0,380480
0;31,330000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;16,000000;No;No;2025;10;3;1;0;0,380480
