sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana
0;70,67222222222222;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Servicio;3,0;0,0;No;;2025;8;3;18;0
0;27,55;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Escalación externa;Remoto;Conectividad - Servicio;5,0;0,0;No;;2025;8;3;19;0
0;24,83388888888889;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;1,0;13,0;No;;2025;8;4;4;0
1;79,18583333333333;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;2,0;374,0;No;;2025;8;4;7;0
1;79,18583333333333;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;;No;;2025;8;4;7;0
0;28,65861111111111;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,0;7,0;No;No;2025;8;4;10;0
1;76,605;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;158,0;No;;2025;8;4;10;0
1;76,5736111111111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;376,0;No;;2025;8;4;10;0
1;292,3225;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;64,0;No;;2025;8;4;10;0
1;100,28888888888889;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;64,0;No;;2025;8;4;10;0
1;92,35777777777778;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,0;624,0;No;No;2025;8;4;12;0
1;170,24583333333334;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;;No;;2025;8;4;12;0
1;502,17861111111114;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;1,0;223,0;No;;2025;8;4;12;0
1;169,70027777777779;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;1246,0;No;;2025;8;4;15;0
1;289,53305555555556;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Movilidad;5,0;;No;;2025;8;4;15;0
1;385,3822222222222;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;;No;;2025;8;4;15;0
1;455,3652777777778;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;217,0;No;;2025;8;4;15;0
1;431,26472222222225;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;4,0;;No;;2025;8;4;15;0
1;430,9291666666667;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3,0;;No;;2025;8;4;16;0
1;500,92805555555555;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;5,0;;No;;2025;8;4;16;0
1;88,42111111111112;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,0;275,0;No;No;2025;8;4;16;0
