sla_incumplido,Tiempo_Resolucion_horas,Impacto,Prioridad,Nivel_1_Categorizacion,Nivel_2_Categorizacion,Nivel_3_Categorizacion,Servicio,Tipo_Incidencia,Fuente_Reportada,Tipo_Solucion,Categoria_Resolucion,Total_Transferencias,Indisponibilidad_Minutos,Reapertura,Incidente_Mayor,anio,mes,dia_semana,hora_creacion,es_fin_de_semana,prob_incumplir_SLA
1,214.01805555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,,No,,2025,8,1,14,0,1.0
1,214.0013888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,,No,,2025,8,1,14,0,1.0
1,359.54833333333335,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,11.0,Sí,,2025,8,1,15,0,1.0
1,258.6658333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,,No,,2025,8,1,18,0,1.0
1,378.66583333333335,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,77.0,No,,2025,8,1,18,0,1.0
0,34.66305555555556,4-Menor/Localizado,Baja,IoT y Analítica,Movilidad Avanzada,Servicio Intermitente,Iot - Conectividad Gestionada,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,0.0,No,,2025,8,1,20,0,1.3724955834119803e-18
1,349.18694444444446,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Monitoreo Proactivo,Remoto,IoT y Analítica,3,403.0,No,,2025,8,1,23,0,1.0
0,31.10333333333333,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,0.0,No,,2025,8,1,23,0,2.994287196638998e-20
0,30.869722222222222,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,0.0,No,,2025,8,2,0,0,1.230208829528609e-19
0,30.43555555555556,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,0.0,No,,2025,8,2,0,0,7.907282399363759e-20
